时间,RMS,频率,幅值,温度,运行时长,状态,bin0,bin1,bin2,bin3,bin4,bin5,bin6,bin7,bin8,bin9,bin10,bin11,bin12,bin13,bin14,bin15
19:47:44,1491,70,374,0,0,582,1,4973,1468,3436,3599,4633,5551,8032,12724,65535,65535,31977,4645,6737,5970,7034,11178
19:47:46,2558,70,707,0,0,584,1,11457,7301,2964,3915,5583,5831,13782,4437,65535,65535,40741,5456,7167,5097,5524,10498
19:47:48,1250,70,295,0,0,587,1,3771,2403,1443,296,1139,1178,2806,5705,34423,37798,10558,2121,2218,2070,2204,4356
19:47:50,1322,70,351,0,0,589,1,911,1265,763,487,959,1158,3965,2693,65535,65535,26408,8339,2255,2570,3748,4264
19:47:53,2351,70,614,0,0,591,1,2568,1957,2890,1044,2929,3001,3121,14517,49139,59139,18615,6692,2513,4157,4250,4968
19:47:55,1805,70,462,0,0,593,1,8793,7328,5762,4890,4742,3448,7570,7631,62800,65535,24962,3553,4091,2482,2318,5573
19:47:57,2269,70,583,0,0,595,1,3799,2798,961,1561,1775,2403,3822,11090,48423,57532,15183,3417,720,1853,703,5203
19:47:59,2232,70,554,0,0,598,1,3876,1522,673,845,1660,3042,1953,16256,64762,65535,18866,2961,659,1809,2837,4689
19:48:01,2864,70,776,0,0,600,1,2679,3562,2698,2698,2646,1589,6504,11258,65535,65535,31151,7443,6370,6571,7191,10076
19:48:04,3432,70,939,0,0,602,1,5928,3432,2432,4762,3925,6074,10254,16059,63010,65535,19200,4672,2089,1162,1790,3344
19:48:06,2186,70,549,0,0,604,1,5309,3275,4443,5154,3462,6235,5571,19974,65535,65535,29012,5595,2823,1125,2530,6689
19:48:08,3487,70,980,0,0,607,1,2721,1015,4110,3378,3782,4735,8120,7035,65535,65535,30415,4651,4419,4599,5135,9004
19:48:10,1819,70,476,0,0,609,1,881,3673,4221,2765,1833,2603,4005,7981,49508,60973,18808,2801,2471,2607,2491,6173
19:48:13,3512,70,960,0,0,611,1,8794,6618,604,1601,3793,1837,4151,22538,29355,29027,8560,3830,2021,1996,2020,1331
19:48:15,1049,62,229,0,0,613,1,4073,3945,2820,1104,656,1251,2760,6228,65535,65535,37324,10111,7852,8062,8216,11498
19:48:17,3092,70,846,0,0,615,1,3063,2422,3687,5122,2879,5575,4648,22903,65535,65535,27535,6309,2967,1154,1786,5772
19:48:19,3027,70,821,0,0,618,1,4138,5717,5252,5373,6405,5480,10179,7710,65535,65535,34940,3824,4983,3799,4774,9363
19:48:21,1848,70,424,0,0,620,1,3011,984,2573,2667,847,1371,2038,11648,31348,24076,2042,3187,1651,1015,1897,861
19:48:24,2825,70,734,0,0,622,1,7382,6182,4297,4749,4366,4152,6074,15599,65535,65535,38752,7025,8642,7733,8945,13493
19:48:26,3112,70,872,0,0,624,1,7959,6055,3513,2955,3583,5428,6522,11018,41577,46077,11061,3249,574,1451,367,4148
19:48:28,1536,70,359,0,0,626,1,4226,3601,898,303,1083,1425,804,8096,30082,25201,4280,4784,2111,1453,2419,503
19:48:30,3012,70,815,0,0,629,1,6954,4839,2546,3215,5411,5405,12272,7091,65535,65535,33492,1218,2589,2258,3931,9055
19:48:33,3518,70,921,0,0,631,1,1930,1301,2027,5335,1882,3710,3986,28831,63341,65535,21104,888,2300,1906,2646,6499
19:48:35,2066,70,511,0,0,633,1,3071,2510,1616,2284,2869,3979,9006,1754,63894,65535,22666,5496,2970,3364,2731,6126
19:48:37,2302,70,607,0,0,635,1,3403,2604,3328,4981,2224,4580,2223,19543,65535,65535,25459,5853,2782,2989,3076,6552
19:48:39,2791,70,723,0,0,638,1,5905,4070,1024,2313,2339,2884,5223,23849,65535,65535,29489,11782,4818,7113,4584,9051
19:48:41,1334,70,302,0,0,640,1,4208,2223,2308,2354,503,1356,3832,5038,36380,38735,13212,5148,3089,3071,3226,2720
19:48:44,1959,70,519,0,0,642,1,922,1150,99,781,711,1982,3460,8638,65535,65535,33726,11379,6378,6860,7617,8795
19:48:46,3460,70,926,0,0,644,1,1734,2993,748,2168,2141,2225,2636,12972,46841,45012,11679,3192,4064,2278,1957,4020
19:48:48,1642,62,365,0,0,646,1,5228,3915,2087,3060,3036,5155,5972,10353,65535,65535,28992,6603,3179,4582,5029,7071
19:48:50,3126,70,860,0,0,649,1,4047,3825,2199,2727,4068,6904,9851,13992,65535,65535,35935,8098,4630,4661,4886,7393
19:48:53,3306,70,926,0,0,651,1,6353,4297,1687,1709,1810,4563,5889,19971,38541,26753,4851,3274,2442,215,2033,1810
19:48:55,3337,70,910,0,0,653,1,7519,3007,3354,5914,3055,4564,4621,27630,65535,65535,30049,5024,4542,3330,3520,6495
19:48:57,2717,70,680,0,0,655,1,6844,5253,4100,3776,2518,3750,5866,8459,59230,65535,18690,4586,672,2852,806,5074
19:48:59,2149,70,547,0,0,657,1,2874,3550,2075,3134,2619,2812,3964,18299,65535,65535,19497,4051,863,3245,633,5793
19:49:01,2610,70,706,0,0,660,1,5622,3407,2900,2239,1987,2428,6250,11928,65535,65535,29664,5807,5719,5885,5370,10472
19:49:04,2820,70,729,0,0,662,1,430,1109,681,2427,1452,2220,2459,22852,56912,61496,18365,656,2229,1525,1926,5776
